我在 2011 年成为《法律与秩序》剧迷。 我当时正从中风中康复。 回家后，我尽量每一集都会追。 在 20 年内连续刷同一部剧是件难事。
大家都喜欢鲍勃，因为他在电影内扮演着一个备受青睐的角色。 鲍勃讨厌它，因为他一点也不像那个角色。 吉姆叫鲍勃说出他的角色的口头禅。 对鲍勃来说，这简直是强人所难，于是他勃然大怒。
昨天我去了玩具反斗城。 我得去给我表兄弟们买礼物。 我装了一购物车东西。 谢天谢地，我发现它们在促销。
鲍勃从德克萨斯州开车去佛罗里达州。 他拒绝在旅馆停下休息。 驾驶 15 个小时后，他累了。 他开始睡着了。
我拿到了我的演唱会门票。 我开车去芝加哥。 我不敢相信我能看到披头士乐队。 我离舞台前面有 30 排。
麦琪发现有只蝙蝠在她的天花板飞来飞去。 她很慌张，不知所措。 她决定藏进房间里，并给灭害虫公司打电话。 突然，她养的猫走进了她的房间，嘴里叼着什么东西。
那是个夏天。 杰夫的房间非常闷热。 他看到广告说深色百叶窗可以隔热。 他觉得这会带来明显的变化。
乔伊的叔叔给他看了一只弹珠。 他戏弄乔伊，说这是他的玻璃眼珠。 后来，乔伊和朋友们玩弹珠。 一个男孩说他的弹珠是猫的眼睛。
上午 11 点左右，学校的火警铃响了。 学生们正冲向门口，听见枪声响起时停住了脚步。 随后，老师指示他们藏到课桌下。 学生们扎到课桌下，都吓呆了。
杰弗里斯的遥控器没电了。 它彻底不工作了。 他需要换电池。 所以他去商店买了一些电池。
我一直想一口气骑行 30 英里。 现在，我还只能一口气骑行 20 英里。 我给自己找了一位骑行教练，帮我取得进步。 我努力了好几个月，吃的东西也都合适。
我家人一直很喜欢露营，我却不那么喜欢。 我上回露营是在 19 岁。 起初，我们的车坏了，我们在酷热中被困了好几小时。 我做饭时烧到了手，又掉到了湖里，还被虫子咬了。
教授给我们班布置了一篇论文。 我离开教室时就把它给忘了。 几天后，同班同学给我发信息，问我是否做完了。 我很心烦，因为我完全忘记了！
莎莉认为她的老板想炒了她。 她加班到很晚，确保自己的工作正确无误。 莎莉仍然很紧张不安。 她决定和老板约个时间会面。
我们决定要学做糖果。 我们找了一本这方面的书来钻研。 然后，我们开始尝试。 我们意识到自己太高估做糖果的难度了。
威尔在幼儿园特别调皮，不听老师的话。 他父亲对他非常生气。 他指着学校的清洁工，告诉威尔那就是他的将来。 威尔不想打扫学校的浴室。
艾米丽在医生办公室打针时非常紧张。 她藏到了桌子底下，哭了。 护士来给她打针时，艾米丽伸出手打了她。 艾米丽和护士都很惊讶，也很痛。
我和朋友们在室外玩耍。 我们想玩个新游戏。 由于我们不熟悉街头曲棍球，我们决定就玩它了。 我们去了室外，拿出了装备。
某天，我的电脑鼠标罢工了。 我去商店买新的。 找到的每一只鼠标都太贵了。 我回了家，决定试着修一修我的鼠标。
萨曼莎开车去上学。 她发现自己把课本落在家了。 她开车回家去拿书。 她上课迟到了 25 分钟。
那是我第一次滑雪，滑得并不好。 我直接滑到了另一位滑雪者的路线上。 我们撞到了一起，都摔倒了。 那位滑雪者告诉我他叫杰克，很高兴能认识我。
加布的房间里需要一张书桌。 但他没有很多钱。 他在自己的车库里找到了胶合板。 所以他用它做了一张书桌。
瑞克告诉他的朋友，他讨厌露营。 他们一直缠着他，直到他还是去露营了。 有天晚上，他醒来发现帐篷里有一条蛇。 他尖叫着跑出了帐篷。
杰瑞想开始新的事业。 他搜了很多招聘启事广告并将它们分门别类。 他在一张广告上找到了一份理想的招聘启事。 他通过电子邮件给招聘人员发了自己的简历。
埃米尔想成为一名大厨。 他上了课，努力学习烹饪。 他练习下厨，给朋友们准备食物。 他的朋友们喜欢他做的饭，都鼓励他。
艾拉给家人准备了野餐。 但她忘了带叉子！ 他们没办法吃鸡肉和西瓜。 然后，他们都开始大笑，并用手抓着吃东西。
上星期一艾米丽很早就起来准备去上学。 在她穿好衣服之前，她检查了一下，看学校是不是停课了。 雪下得很大，学校停课了。 艾米丽很高兴，决定在休息日待在家里读书。
裘琳去美甲沙龙做美甲。 美甲师清洁并修剪了她的指甲。 裘琳拿不定主意她想要什么颜色的指甲油。 美甲师推荐了一种使用多种颜色的方案。
哈利私下很讨厌鬼屋，但是不能让他的朋友失望。 他假装出一副勇敢的样子，然后走进了那黑暗的房子里。 他成功地走过了全程，而没有惊声尖叫。 在最后，他们从一个陷阱摔了下去，掉入一团黏糊糊的东西中。
鲍比想做一名摔跤手。 他在高中时学过摔跤。 后来他在大学里加入了一支摔跤队。 很快他就从事职业摔跤了。
琼决定犒赏自己一顿丰盛的寿司晚餐。 但是食物很糟糕，而服务员甚至更糟糕！ 她叫经理过来，但是经理根本理都不理。 虽然这并不是她的作风，但琼很生气，没有付钱就走了。
杰西一直想要纹一个纹身。 她的父母非常不喜欢纹身。 在她的 18 岁生日时，她决定要纹一个。 她在肩膀上纹了一个小头饰纹身。
朱丽叶希望长大后成为一名科学家。 她决定她必须进行一次实验。 她把一瓶小苏打倒进了平底锅里。 然后她又将醋倒进去。
贾克林过来跟罗伯的女友外出。 贾克林和罗伯合不来。 罗伯试图维持和平，表现友善。 贾克林一直説一些很刻薄的话
莎伦和她姐妹开车去杂货店买鸡蛋。 她们晚饭有客人来，正在烤蛋糕。 进房子时，莎伦绊了一下摔倒了。 鸡蛋从她手里飞出，掉到了水泥地上。
从前有一个奴隶贩子。 他找到了上帝，改变了他的邪恶勾当。 他写了一首关于他皈依的歌。 那首歌变得很有名很流行。
一天下午，艾拉外出去滑雪橇。 一开始她很开心。 然后她从雪橇上滑了下来。 她的前额被地上的一块石头给划破了。
斯蒂芬通常都吃很丰盛的早餐。 但是她的新工作让她做早餐的时间更少了。 因此斯蒂芬决定吃更简单的食物，更小的分量。 在一个月内，她减掉了 10 磅重量。
鲍比是他们学校里的明星橄榄球选手。 他的才华总是得到认可。 一天他参加一场非常重要的比赛。 他的手臂在比赛中受伤了。
苏珊和她的朋友们一起去了电影院。 苏珊在影院里用手机查看电子邮件。 一个管理员过来，要苏珊离开影院。 苏珊不得不在大厅里等待她的朋友们看完电影。
玛吉有一株圣诞仙人掌。 它从来不会开花。 她把这株仙人掌送给了德西。 德西小心地照料这株植物。
吉娜和她的朋友帕姆在公园待了几个小时。 现在太阳下山了。 她道了别，回家去了。 当她到家时，外面已经天黑了。
艾弗里很激动。 今晚是他的第一场篮球赛。 他之前进行了训练，他的父母来看他比赛了。 艾弗里和队友配合出色，甚至得了一些分！
加里喜欢做园艺。 春天快到了，他想开始栽种。 他查阅了资料，看哪些植物对花园来说是安全的。 汤姆决定种一些兰花。
贝很紧张。 她的男朋友在晚餐期间都表现怪异。 贝觉得他将会甩了她。 但是之后他单膝跪地。
汤米今天过得很糟糕。 他的朋友们想带他出去，让他振作一下。 他抱怨了几句，但还是去了。 他整晚都和他的朋友们喝酒跳舞。
艾利尔是我们 5 个月大的宝宝。 有一天早上，她醒过来非常烦躁。 开始我们搞不清楚怎么了。 然后我们看到她的牙龈线上长出了一颗新牙。
艾米莉亚决定去墨西哥度假。 她预订了机票和酒店。 当她到达墨西哥后，她一定会去参观很多不同的地方。 她喜欢这次度假的每一个时刻。
有时我的孩子们会怀疑圣诞老人是不是真的。 每年平安夜我们都会给他留饼干和牛奶。 每个圣诞节，我们都会看到空的杯子和饼干屑。 有一年，我们在外面雪地里发现了饼干。
艾米今天醒来时非常饿。 很不辛，她醒得又太晚了。 她在房子里急匆匆地跑来跑去，没有时间吃早饭。 当她来到工作场所时，她意识到她的同事带了早餐！
这所学校得到了一笔拨款，用于建设一个计算机实验室。 他们的 IT 部门做了很多调查，以找出最好的设备。 他们用拨款的钱购买了设备。 计算机实验室大获成功。
我是网球队的队长。 我们正和我们的竞争对手比赛。 我和我的对手打成平手。 我在平分时占先。
本是篮球队教练，今天他举行了选拔赛。 他不得不淘汰掉这个孩子，因为他不够出色。 他感觉不好，因为他知道这个孩子会很失望。 他给这个孩子提出一些建议，以及下个赛季要做的事。
邓恩警官不想在示威期间伤害到任何人。 他告诉一些人离开，但是他们没有。 他放出了他的警犬。 警犬咬了一个母亲和她的宝宝。
我注意到我的头发长长了。 那天下午我决定试着把头发剪掉。 当我发现一个合适的理发师，我就去那里理发了。 并没有排长队，很快就好了！
我骑着我的摩托车穿过街道。 我走了一条通往一条骑行赛道的路。 我骑了数圈。 我感到无聊，骑车回家了。
有一天，瑞恩的朋友打电话叫他翘班。 他错过了上班的火车，而是去了公园。 瑞恩和他的朋友在公园和鸟儿玩了一整天。 在一天结束时，他们离开公园，碰到了瑞恩的老板。
一名男子在高速公路上开了好几个小时的车。 他看到一个标志牌，写着两英里外有一个休息区。 他预先把车开到了右道上。 他从休息区出口下了高速。
约西亚是一个婴儿，他第一次尝试爬行。 为了帮助他，他妈妈拿出了一个令人兴奋的玩具，可以发出叮当声。 当她让玩具发出声响时，约西亚变得非常感兴趣。 他开始在地上摸索，并朝着他妈妈的方向一点一点挪动。
我想要一只宠物作为生日礼物。 我不确定要什么，我已经养了狗。 我在脸书上浏览了一下，看到了一只迷你猪。 我去接回了她。
山姆想成为一名歌手。 于是他在他的大学里参加了一个歌唱班。 第一天上课，每个人都被要求唱一首歌。 第一天山姆非常害羞。
在成长过程中，马特从来都不是最自信的人。 他一直都非常喜欢他的邻居莱克西，但是不敢。 但是，当毕业舞会即将到来时，他决定最终采取行动。 马特请求莱克西做他的女伴，她立即同意了。
莎安有一个拼写考试。 她想通过。 她非常努力地学习。 她拿了 100 分。
约翰想吃披萨，但他没钱。 然后他想起来上周赢了一个免费披萨！ 他打电话给披萨店，告诉他们兑换码。 一小时后，他们给他送来了免费披萨。
吉尔在晚上 8 点左右必须参加一个舞蹈班。 他做好了准备，开车去了会场。 他只是第一批试演的人之一。 他的表演结束后，评委们对他印象深刻。
昨晚我们试图熬夜。 我们喝了咖啡。 我们吃了巧克力。 我们甚至绕着沙发一圈圈地跑。
多年来艾莉一直把她的零钱存到一个罐子里。 她想要一部新手机，但钱不够。 她想她应该数一下零钱罐里的零钱。 令她惊讶的是，罐子里的钱超过了 $300。
